Date,Symbol,Open,High,Low,Close,Volume
2014-12-17,SPY,198.440002,202.339996,198.289993,193.625909,253910100
2014-12-16,SPY,198.580002,202.399994,197.860001,189.902897,259543800
2014-12-15,SPY,201.979996,202.529999,198.779999,191.438155,189965800
2014-12-12,SPY,202.639999,203.820007,200.850006,192.762327,202330200
2014-12-11,SPY,203.880005,206.190002,203.710007,195.928818,159012800
2014-12-10,SPY,205.910004,205.979996,202.929993,194.940491,159856400
2014-12-09,SPY,204.369995,206.600006,203.910004,198.116572,125180100
2014-12-08,SPY,207.520004,208.119995,205.929993,198.250907,108588200
2014-12-05,SPY,207.869995,208.470001,207.550003,199.584669,91025500
2014-12-04,SPY,207.539993,208.270004,206.699997,199.258428,91316600
2014-12-03,SPY,207.300003,208.149994,207.100006,199.479119,68952000
2014-12-02,SPY,205.809998,207.339996,205.779999,198.711483,74507200
2014-12-01,SPY,206.399994,206.539993,205.380005,197.43529,103968400
2014-11-28,SPY,207.490005,207.869995,206.910004,198.817033,57890100
2014-11-26,SPY,207.289993,207.759995,207.029999,199.239234,62167800
2014-11-25,SPY,207.539993,207.789993,206.800003,198.730678,79108300
2014-11-24,SPY,207.169998,207.389999,206.910004,198.874603,65880800
2014-11-21,SPY,207.639999,207.839996,205.979996,198.318067,142327300
2014-11-20,SPY,204.259995,205.710007,204.179993,197.26258,72840300
2014-11-19,SPY,205.309998,205.550003,204.300003,196.917144,82373000
2014-11-18,SPY,204.440002,205.919998,204.440002,197.233795,76068100
2014-11-17,SPY,203.850006,204.580002,203.649994,196.101528,80441000
2014-11-14,SPY,204.100006,204.490005,203.720001,195.976798,80417500
2014-11-13,SPY,204.160004,204.830002,203.210007,195.928818,85357900
2014-11-12,SPY,203.350006,204.240005,203.309998,195.708127,90120300
2014-11-11,SPY,204.059998,204.309998,203.649994,195.919213,54499400
2014-11-10,SPY,203.380005,204.039993,203.130005,195.727307,66319000
2014-11-07,SPY,203.169998,203.600006,202.610001,195.113201,89540000
2014-11-06,SPY,202.389999,203.259995,201.639999,194.930886,107089000
2014-11-05,SPY,202.539993,202.589996,201.449997,194.15366,91709000
2014-11-04,SPY,201.229996,201.600006,200.059998,192.935052,93343000
2014-11-03,SPY,201.919998,202.449997,201.309998,193.606729,93600000
2014-10-31,SPY,201.779999,201.820007,200.770004,193.501178,146903000
2014-10-30,SPY,197.580002,199.949997,197.399994,191.313425,113330000
2014-10-29,SPY,198.550003,199.119995,196.800003,190.094802,142557000
2014-10-28,SPY,196.820007,198.419998,196.729996,190.382668,106736000
2014-10-27,SPY,195.729996,196.449997,195.029999,188.223699,82954000
2014-10-24,SPY,195.25,196.490005,194.490005,188.482765,117927000
2014-10-23,SPY,194.619995,196.199997,194.259995,187.043452,154944000
2014-10-22,SPY,194.410004,194.910004,192.610001,184.894088,151822000
2014-10-21,SPY,191.679993,194.199997,191.479996,186.218261,154949000
2014-10-20,SPY,188.130005,190.449997,188.070007,182.600784,130011000
