"date","close","volume","open","high","low"
"2015/11/27","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/25","0.0800","500.0000","0.0800","0.0800","0.0800"
"2015/11/24","0.0810","0.0000","0.0810","0.0810","0.0810"
"2015/11/23","0.0810","0.0000","0.0810","0.0810","0.0810"
"2015/11/20","0.0810","0.0000","0.0810","0.0810","0.0810"
"2015/11/19","0.0810","110.0000","0.0810","0.0810","0.0810"
"2015/11/18","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/17","0.0800","340.0000","0.0800","0.0800","0.0800"
"2015/11/16","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/11/13","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/11/12","0.1000","2000.0000","0.1000","0.1000","0.1000"
"2015/11/11","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/10","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/09","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/06","0.0800","0.0000","0.0800","0.0800","0.0800"
"2015/11/05","0.0800","30000.0000","0.0820","0.0820","0.0800"
"2015/11/04","0.0910","12000.0000","0.1010","0.1010","0.0910"
"2015/11/03","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/11/02","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/30","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/29","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/28","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/27","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/26","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/23","0.1099","0.0000","0.1099","0.1099","0.1099"
"2015/10/22","0.1099","1000.0000","0.1100","0.1100","0.1099"
"2015/10/21","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/20","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/19","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/16","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/15","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/14","0.1100","300.0000","0.1100","0.1100","0.1100"
"2015/10/13","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/10/12","0.1100","4272.0000","0.1100","0.1100","0.1100"
"2015/10/09","0.1065","1000.0000","0.1065","0.1065","0.1065"
"2015/10/08","0.1065","0.0000","0.1065","0.1065","0.1065"
"2015/10/07","0.1065","23837.0000","0.1100","0.1100","0.1000"
"2015/10/06","0.2500","100.0000","0.2500","0.2500","0.2500"
"2015/10/05","0.1050","15000.0000","0.1050","0.1050","0.1050"
"2015/10/02","0.1050","10100.0000","0.1050","0.1450","0.1050"
"2015/10/01","0.1050","5000.0000","0.1050","0.1050","0.1050"
"2015/09/30","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/29","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/28","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/25","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/24","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/23","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/22","0.1490","0.0000","0.1490","0.1490","0.1490"
"2015/09/21","0.1490","1440.0000","0.1050","0.1490","0.1050"
"2015/09/18","0.1490","467.0000","0.1050","0.1490","0.1050"
"2015/09/17","0.1500","100.0000","0.1500","0.1500","0.1500"
"2015/09/16","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/09/15","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/09/14","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/09/11","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/09/10","0.1300","4020.0000","0.1050","0.1400","0.1050"
"2015/09/09","0.2500","100.0000","0.2500","0.2500","0.2500"
"2015/09/08","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/09/04","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/09/03","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/09/02","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/09/01","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/08/31","0.1200","2700.0000","0.1050","0.1200","0.1050"
"2015/08/28","0.1200","1820.0000","0.1185","0.1200","0.1185"
"2015/08/27","0.1200","1000.0000","0.1200","0.1200","0.1200"
"2015/08/26","0.1050","1220.0000","0.1120","0.1990","0.1050"
"2015/08/25","0.2500","5100.0000","0.1121","0.2500","0.1121"
"2015/08/24","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/08/21","0.1300","200.0000","0.1300","0.1300","0.1300"
"2015/08/20","0.1300","850.0000","0.1121","0.1300","0.1121"
"2015/08/19","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/08/18","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/08/17","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/08/14","0.1300","2100.0000","0.1200","0.1300","0.1200"
"2015/08/13","0.1450","1100.0000","0.1200","0.1450","0.1200"
"2015/08/12","0.1500","19200.0000","0.1200","0.1550","0.1200"
"2015/08/11","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/08/10","0.1600","1000.0000","0.1600","0.1600","0.1600"
"2015/08/07","0.1600","7100.0000","0.1400","0.1600","0.1400"
"2015/08/06","0.1600","387.0000","0.1400","0.1600","0.1400"
"2015/08/05","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/08/04","0.1600","14538.0000","0.1500","0.1600","0.1500"
"2015/08/03","0.1999","0.0000","0.1999","0.1999","0.1999"
